PolicyNumber,Make,Sex,MaritalStatus,Age,PolicyType,VehicleCategory,VehiclePrice,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,AgentType,AddressChange-Claim,BasePolicy
10994,Pontiac,Male,Married,42,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,4,none,7 years,36 to 40,External,no change,All Perils
10995,Mazda,Male,Married,52,Sport - Collision,Sport,"more than 69,000",5,400,4,none,more than 7,41 to 50,External,no change,Collision
10996,Mazda,Female,Single,24,Sedan - Liability,Sport,"20,000 to 29,000",7,400,3,none,5 years,26 to 30,External,no change,Liability
10997,Mazda,Male,Married,29,Sedan - Collision,Sedan,"30,000 to 39,000",11,400,3,none,7 years,31 to 35,External,no change,Collision
10998,Toyota,Female,Married,44,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,1,2 to 4,more than 7,36 to 40,External,no change,Collision
10999,Saab,Male,Single,34,Sedan - Collision,Sedan,"30,000 to 39,000",7,400,1,none,6 years,31 to 35,External,no change,Collision
11000,Toyota,Male,Married,41,Sedan - Liability,Sport,"less than 20,000",1,400,2,more than 4,7 years,36 to 40,External,no change,Liability
11001,Honda,Male,Single,25,Sport - Collision,Sport,"more than 69,000",2,400,3,1,5 years,26 to 30,External,no change,Collision
11002,Mazda,Female,Married,50,Sedan - Collision,Sedan,"more than 69,000",4,400,1,2 to 4,more than 7,41 to 50,External,no change,Collision
11003,Pontiac,Male,Married,38,Sedan - Collision,Sedan,"20,000 to 29,000",11,400,1,none,7 years,36 to 40,External,no change,Collision
11004,Toyota,Male,Married,56,Sedan - Collision,Sedan,"30,000 to 39,000",13,400,3,1,more than 7,51 to 65,External,no change,Collision
11005,Pontiac,Male,Single,25,Sedan - Liability,Sport,"20,000 to 29,000",13,400,1,2 to 4,5 years,26 to 30,External,4 to 8 years,Liability
11006,Toyota,Male,Single,27,Sedan - Liability,Sport,"20,000 to 29,000",13,700,4,more than 4,7 years,31 to 35,External,no change,Liability
11007,Pontiac,Male,Married,51,Sedan - Liability,Sport,"20,000 to 29,000",12,400,2,2 to 4,7 years,41 to 50,External,no change,Liability
11008,Accura,Male,Married,27,Sedan - All Perils,Sedan,"30,000 to 39,000",10,400,1,1,7 years,31 to 35,External,no change,All Perils
11009,Pontiac,Female,Single,23,Sedan - All Perils,Sedan,"20,000 to 29,000",9,400,1,none,5 years,26 to 30,External,no change,All Perils
11010,Mazda,Male,Married,59,Sedan - Liability,Sport,"20,000 to 29,000",10,400,2,2 to 4,more than 7,51 to 65,External,no change,Liability
11011,Ford,Male,Married,33,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,4,none,7 years,31 to 35,External,no change,Collision
11012,Mazda,Male,Single,29,Sedan - Collision,Sedan,"20,000 to 29,000",4,400,4,1,6 years,31 to 35,External,1 year,Collision
11013,Pontiac,Male,Married,34,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,3,1,7 years,31 to 35,External,no change,Collision
11014,Chevrolet,Male,Single,45,Sedan - Collision,Sedan,"30,000 to 39,000",14,400,2,2 to 4,7 years,36 to 40,External,no change,Collision
11015,VW,Female,Divorced,45,Sedan - All Perils,Sedan,"30,000 to 39,000",7,400,1,none,more than 7,36 to 40,External,no change,All Perils
11016,Saab,Male,Married,29,Sedan - All Perils,Sedan,"30,000 to 39,000",15,400,2,2 to 4,7 years,31 to 35,External,no change,All Perils
11017,Toyota,Male,Married,42,Sedan - All Perils,Sedan,"less than 20,000",3,500,3,1,more than 7,36 to 40,External,2 to 3 years,All Perils
11018,Pontiac,Male,Married,47,Sedan - Liability,Sport,"20,000 to 29,000",11,400,3,more than 4,more than 7,41 to 50,External,no change,Liability
11019,Mazda,Male,Married,50,Sedan - Liability,Sport,"20,000 to 29,000",16,400,4,2 to 4,7 years,41 to 50,External,no change,Liability
11020,Pontiac,Male,Married,55,Sedan - Liability,Sport,"30,000 to 39,000",9,400,2,none,more than 7,41 to 50,External,no change,Liability
11021,Pontiac,Female,Married,45,Sedan - Liability,Sport,"30,000 to 39,000",15,400,3,2 to 4,7 years,36 to 40,External,no change,Liability
11022,Pontiac,Female,Married,55,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,1,more than 4,7 years,41 to 50,External,no change,All Perils
11023,Chevrolet,Male,Married,31,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,4,1,6 years,31 to 35,External,no change,All Perils
11024,Mazda,Male,Single,32,Sedan - Liability,Sport,"20,000 to 29,000",13,400,1,2 to 4,7 years,31 to 35,External,no change,Liability
11025,Toyota,Male,Single,24,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,3,1,5 years,26 to 30,External,no change,Collision
11026,Mazda,Male,Married,54,Sedan - Liability,Sport,"40,000 to 59,000",8,400,4,2 to 4,more than 7,41 to 50,External,4 to 8 years,Liability
11027,Pontiac,Female,Married,27,Sedan - Collision,Sedan,"30,000 to 39,000",10,400,2,1,6 years,31 to 35,External,no change,Collision
11028,Pontiac,Female,Married,27,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,4,none,6 years,31 to 35,External,no change,Collision
11029,Mazda,Male,Married,36,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,2,none,more than 7,36 to 40,External,no change,Collision
11030,Pontiac,Male,Single,22,Sedan - All Perils,Sedan,"20,000 to 29,000",15,400,3,1,5 years,26 to 30,External,no change,All Perils
11031,Chevrolet,Male,Married,37,Sedan - All Perils,Sedan,"30,000 to 39,000",4,400,3,none,7 years,36 to 40,External,no change,All Perils
11032,Mazda,Male,Married,61,Sedan - Collision,Sedan,"30,000 to 39,000",10,400,3,1,more than 7,51 to 65,External,no change,Collision
11033,Chevrolet,Male,Single,32,Sedan - All Perils,Sedan,"20,000 to 29,000",10,400,4,1,6 years,31 to 35,External,no change,All Perils
11034,Pontiac,Male,Married,64,Utility - Collision,Utility,"more than 69,000",8,400,4,2 to 4,more than 7,51 to 65,External,no change,Collision
11035,Honda,Male,Single,17,Sedan - Liability,Sport,"more than 69,000",10,400,4,2 to 4,new,16 to 17,External,no change,Liability
11036,Pontiac,Male,Married,39,Sedan - Liability,Sport,"30,000 to 39,000",16,400,2,more than 4,7 years,36 to 40,External,no change,Liability
11037,Pontiac,Male,Married,57,Sedan - Liability,Sport,"20,000 to 29,000",13,700,1,more than 4,7 years,51 to 65,External,no change,Liability
11038,Toyota,Male,Single,36,Sedan - Collision,Sedan,"more than 69,000",13,400,1,none,more than 7,36 to 40,External,no change,Collision
11039,Honda,Male,Married,59,Sedan - Liability,Sport,"20,000 to 29,000",3,400,4,2 to 4,more than 7,51 to 65,External,no change,Liability
11040,Mazda,Male,Single,31,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,3,more than 4,6 years,31 to 35,External,no change,Collision
11041,Pontiac,Male,Married,35,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,3,1,5 years,31 to 35,External,no change,All Perils
11042,Pontiac,Male,Married,40,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,2,1,more than 7,36 to 40,External,no change,Collision
11043,Mazda,Male,Single,37,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,3,none,7 years,36 to 40,External,no change,Collision
11044,Mazda,Male,Married,51,Sedan - All Perils,Sedan,"30,000 to 39,000",1,400,1,2 to 4,more than 7,41 to 50,External,no change,All Perils
11045,Toyota,Male,Single,35,Sedan - All Perils,Sedan,"20,000 to 29,000",16,400,2,1,6 years,31 to 35,External,no change,All Perils
11046,Honda,Male,Single,16,Sedan - Collision,Sedan,"more than 69,000",14,400,3,1,new,16 to 17,External,no change,Collision
11047,Pontiac,Male,Married,61,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,4,1,more than 7,51 to 65,External,4 to 8 years,Collision
11048,Ford,Male,Married,44,Sedan - Collision,Sedan,"40,000 to 59,000",11,400,4,1,more than 7,36 to 40,External,no change,Collision
11049,Pontiac,Male,Single,28,Sedan - Liability,Sport,"20,000 to 29,000",9,400,4,2 to 4,6 years,31 to 35,External,no change,Liability
11050,Chevrolet,Male,Married,39,Sedan - Liability,Sport,"40,000 to 59,000",3,400,4,1,7 years,36 to 40,External,no change,Liability
11051,Mazda,Male,Single,44,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,4,1,7 years,36 to 40,External,no change,Collision
11052,Chevrolet,Male,Single,35,Sedan - Liability,Sport,"40,000 to 59,000",2,400,4,1,7 years,31 to 35,External,no change,Liability
11053,Mazda,Male,Married,58,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,2,2 to 4,more than 7,51 to 65,External,no change,Collision
11054,Chevrolet,Female,Married,35,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,1,none,6 years,31 to 35,External,no change,Collision
11055,Chevrolet,Male,Single,41,Sedan - Collision,Sedan,"more than 69,000",13,400,2,more than 4,7 years,36 to 40,External,no change,Collision
11056,VW,Male,Married,44,Sedan - Liability,Sport,"40,000 to 59,000",5,400,1,2 to 4,more than 7,36 to 40,External,no change,Liability
11057,Mazda,Male,Single,30,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,2,none,6 years,31 to 35,External,no change,Collision
11058,Mazda,Male,Married,30,Sedan - Liability,Sport,"30,000 to 39,000",15,400,2,more than 4,6 years,31 to 35,External,no change,Liability
11059,Toyota,Male,Married,61,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,2,2 to 4,more than 7,51 to 65,External,no change,All Perils
11060,Toyota,Female,Single,27,Sedan - Liability,Sport,"less than 20,000",14,400,4,more than 4,5 years,31 to 35,External,no change,Liability
11061,Pontiac,Male,Married,22,Sedan - Collision,Sedan,"30,000 to 39,000",16,400,4,none,5 years,26 to 30,External,no change,Collision
11062,Honda,Male,Single,16,Sedan - Liability,Sport,"more than 69,000",12,400,3,2 to 4,new,16 to 17,External,no change,Liability
11063,Honda,Male,Married,27,Sedan - Liability,Sport,"30,000 to 39,000",4,400,1,more than 4,7 years,31 to 35,External,no change,Liability
11064,Chevrolet,Female,Single,36,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,2,none,7 years,36 to 40,External,no change,Collision
11065,Toyota,Male,Married,39,Sedan - Collision,Sedan,"30,000 to 39,000",12,400,2,none,7 years,36 to 40,External,no change,Collision
11066,Pontiac,Male,Single,45,Sedan - Liability,Sport,"20,000 to 29,000",9,400,2,more than 4,7 years,36 to 40,External,no change,Liability
11067,Pontiac,Male,Single,32,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,1,1,6 years,31 to 35,External,no change,Collision
11068,Pontiac,Male,Married,54,Sedan - Collision,Sedan,"20,000 to 29,000",3,700,2,2 to 4,7 years,41 to 50,External,4 to 8 years,Collision
11069,Pontiac,Male,Married,50,Sedan - Liability,Sport,"20,000 to 29,000",1,400,3,more than 4,7 years,41 to 50,External,no change,Liability
11070,Chevrolet,Male,Single,32,Sedan - All Perils,Sedan,"40,000 to 59,000",8,400,1,1,6 years,31 to 35,External,no change,All Perils
11071,Mazda,Male,Married,35,Sedan - All Perils,Sedan,"more than 69,000",12,400,4,none,7 years,31 to 35,External,no change,All Perils
11072,Mercury,Male,Married,46,Utility - All Perils,Utility,"more than 69,000",13,400,2,none,7 years,41 to 50,External,no change,All Perils
11073,Mercury,Male,Married,37,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,2,more than 4,7 years,36 to 40,External,no change,Collision
11074,Honda,Male,Married,57,Sedan - Liability,Sport,"20,000 to 29,000",8,400,4,1,more than 7,51 to 65,External,no change,Liability
11075,Pontiac,Male,Married,57,Sedan - Liability,Sport,"more than 69,000",8,400,4,more than 4,more than 7,51 to 65,External,no change,Liability
11076,Mazda,Male,Married,41,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,1,none,more than 7,36 to 40,External,no change,Collision
11077,Toyota,Female,Married,43,Sedan - Liability,Sport,"20,000 to 29,000",6,400,1,2 to 4,6 years,36 to 40,External,no change,Liability
11078,Chevrolet,Male,Married,54,Sedan - Liability,Sport,"more than 69,000",6,400,1,2 to 4,7 years,41 to 50,External,no change,Liability
11079,Mazda,Male,Married,28,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,4,2 to 4,6 years,31 to 35,External,no change,All Perils
11080,Mercury,Male,Single,34,Sedan - Liability,Sport,"20,000 to 29,000",12,400,1,2 to 4,6 years,31 to 35,External,no change,Liability
11081,Pontiac,Male,Married,28,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,3,none,6 years,31 to 35,External,no change,Collision
11082,Pontiac,Male,Married,63,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,3,none,more than 7,51 to 65,External,no change,Collision
11083,Toyota,Male,Married,62,Sedan - Liability,Sport,"20,000 to 29,000",15,400,4,1,more than 7,51 to 65,External,no change,Liability
11084,Mazda,Male,Married,26,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,1,more than 4,7 years,31 to 35,External,no change,Collision
11085,Toyota,Female,Single,25,Sedan - Collision,Sedan,"30,000 to 39,000",3,400,1,none,5 years,26 to 30,External,no change,Collision
11086,Dodge,Male,Married,30,Sedan - Collision,Sedan,"30,000 to 39,000",14,400,3,1,6 years,31 to 35,External,no change,Collision
11087,Accura,Male,Married,49,Sedan - Collision,Sedan,"30,000 to 39,000",9,400,1,more than 4,more than 7,41 to 50,External,no change,Collision
11088,Mazda,Male,Married,46,Sedan - Collision,Sedan,"20,000 to 29,000",14,400,4,1,more than 7,41 to 50,External,no change,Collision
11089,Honda,Female,Married,40,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,2,none,7 years,36 to 40,External,4 to 8 years,Collision
11090,Honda,Male,Married,33,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,4,more than 4,7 years,31 to 35,External,no change,Collision
11091,Honda,Male,Married,55,Sedan - All Perils,Sedan,"30,000 to 39,000",10,400,2,1,more than 7,41 to 50,External,no change,All Perils
11092,Chevrolet,Female,Single,27,Sedan - All Perils,Sedan,"20,000 to 29,000",1,400,3,1,7 years,31 to 35,External,no change,All Perils
11093,Toyota,Male,Married,59,Sedan - All Perils,Sedan,"30,000 to 39,000",4,400,2,none,more than 7,51 to 65,External,no change,All Perils
11094,Toyota,Male,Married,33,Sedan - Collision,Sedan,"30,000 to 39,000",3,400,4,1,7 years,31 to 35,External,no change,Collision
11095,Chevrolet,Male,Single,35,Sedan - Collision,Sedan,"20,000 to 29,000",10,400,3,1,5 years,31 to 35,External,no change,Collision
11096,Toyota,Male,Married,27,Sedan - Collision,Sedan,"30,000 to 39,000",16,400,1,1,7 years,31 to 35,External,no change,Collision
11097,Honda,Female,Single,28,Sedan - Collision,Sedan,"20,000 to 29,000",9,400,3,1,6 years,31 to 35,External,no change,Collision
11098,Chevrolet,Male,Married,50,Sedan - All Perils,Sedan,"30,000 to 39,000",9,400,3,1,more than 7,41 to 50,External,no change,All Perils
11099,Honda,Male,Married,43,Sedan - Liability,Sport,"30,000 to 39,000",4,700,3,1,7 years,36 to 40,External,no change,Liability
11100,Chevrolet,Male,Single,33,Sedan - Collision,Sedan,"20,000 to 29,000",16,400,4,none,5 years,31 to 35,External,no change,Collision
11101,Toyota,Male,Married,43,Sedan - Liability,Sport,"20,000 to 29,000",6,400,2,none,more than 7,36 to 40,External,no change,Liability
11102,Pontiac,Male,Single,27,Sedan - Liability,Sport,"20,000 to 29,000",2,400,3,1,6 years,31 to 35,External,no change,Liability
11103,Toyota,Male,Single,19,Sedan - Collision,Sedan,"20,000 to 29,000",12,400,1,1,2 years,21 to 25,External,1 year,Collision
11104,Pontiac,Male,Single,38,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,4,none,6 years,36 to 40,External,no change,Collision
11105,Mazda,Male,Single,25,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,4,none,5 years,26 to 30,External,no change,Collision
11106,Pontiac,Male,Single,38,Sedan - All Perils,Sedan,"less than 20,000",14,400,3,1,7 years,36 to 40,External,no change,All Perils
11107,Toyota,Male,Married,28,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,4,more than 4,7 years,31 to 35,External,no change,Collision
11108,Mazda,Male,Single,42,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,2,1,7 years,36 to 40,External,no change,Collision
11109,VW,Male,Single,22,Sedan - All Perils,Sedan,"more than 69,000",13,400,3,more than 4,5 years,26 to 30,External,no change,All Perils
11110,Honda,Male,Married,53,Sedan - All Perils,Sedan,"30,000 to 39,000",15,400,2,1,more than 7,41 to 50,External,4 to 8 years,All Perils
11111,Mazda,Male,Married,61,Sedan - Collision,Sedan,"30,000 to 39,000",6,400,2,2 to 4,more than 7,51 to 65,External,no change,Collision
11112,Saab,Male,Married,40,Sedan - All Perils,Sedan,"30,000 to 39,000",16,400,1,1,7 years,36 to 40,External,no change,All Perils
11113,Toyota,Male,Married,46,Sedan - Liability,Sport,"more than 69,000",1,400,2,more than 4,more than 7,41 to 50,External,no change,Liability
11114,Accura,Male,Married,34,Utility - All Perils,Utility,"more than 69,000",4,400,2,none,5 years,31 to 35,External,no change,All Perils
11115,Accura,Male,Married,33,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,4,2 to 4,7 years,31 to 35,External,no change,Collision
11116,Toyota,Male,Married,39,Sedan - Liability,Sport,"20,000 to 29,000",14,400,2,1,7 years,36 to 40,External,no change,Liability
11117,Pontiac,Male,Married,43,Sedan - Liability,Sport,"20,000 to 29,000",15,400,4,more than 4,7 years,36 to 40,External,no change,Liability
11118,Dodge,Male,Married,39,Sedan - Liability,Sport,"more than 69,000",4,400,2,1,7 years,36 to 40,External,no change,Liability
11119,Chevrolet,Female,Single,33,Sedan - All Perils,Sedan,"more than 69,000",1,500,3,none,7 years,31 to 35,External,2 to 3 years,All Perils
11120,Toyota,Female,Married,32,Sedan - All Perils,Sedan,"20,000 to 29,000",8,400,3,none,3 years,31 to 35,External,no change,All Perils
11121,Mazda,Male,Single,45,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,4,2 to 4,7 years,36 to 40,External,no change,All Perils
11122,Pontiac,Male,Single,41,Sedan - All Perils,Sedan,"20,000 to 29,000",6,400,1,2 to 4,7 years,36 to 40,External,no change,All Perils
11123,Mazda,Male,Married,49,Sedan - All Perils,Sedan,"20,000 to 29,000",5,400,4,none,7 years,41 to 50,External,no change,All Perils
11124,Pontiac,Female,Single,37,Sedan - All Perils,Sedan,"less than 20,000",11,400,4,none,7 years,36 to 40,External,no change,All Perils
11125,Chevrolet,Male,Married,46,Sedan - Liability,Sport,"30,000 to 39,000",12,400,4,more than 4,7 years,41 to 50,External,no change,Liability
11126,Honda,Male,Single,17,Sedan - Collision,Sedan,"more than 69,000",5,400,3,none,new,16 to 17,External,no change,Collision
11127,Honda,Male,Married,61,Sedan - Liability,Sport,"less than 20,000",8,400,2,1,7 years,51 to 65,External,no change,Liability
11128,Pontiac,Male,Married,41,Sedan - Liability,Sport,"20,000 to 29,000",13,400,1,2 to 4,4 years,36 to 40,External,no change,Liability
11129,Pontiac,Male,Married,55,Sedan - Liability,Sport,"30,000 to 39,000",8,400,2,1,more than 7,41 to 50,External,no change,Liability
11130,Pontiac,Male,Married,50,Sedan - All Perils,Sedan,"20,000 to 29,000",1,700,1,1,more than 7,41 to 50,External,no change,All Perils
11131,Honda,Male,Married,36,Sedan - Liability,Sport,"more than 69,000",13,400,4,1,7 years,36 to 40,External,4 to 8 years,Liability
11132,Pontiac,Female,Married,54,Sedan - All Perils,Sedan,"less than 20,000",13,400,2,none,7 years,41 to 50,External,no change,All Perils
11133,Pontiac,Male,Single,23,Sedan - Collision,Sedan,"20,000 to 29,000",3,400,3,1,4 years,26 to 30,External,no change,Collision
11134,Toyota,Male,Single,30,Sedan - Liability,Sport,"20,000 to 29,000",13,400,2,2 to 4,6 years,31 to 35,External,no change,Liability
11135,Pontiac,Male,Married,40,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,3,2 to 4,7 years,36 to 40,External,no change,Collision
11136,Pontiac,Male,Married,51,Sedan - All Perils,Sedan,"30,000 to 39,000",13,400,1,more than 4,6 years,41 to 50,External,no change,All Perils
11137,Honda,Male,Single,36,Sedan - All Perils,Sedan,"less than 20,000",16,400,1,1,more than 7,36 to 40,External,no change,All Perils
11138,Mazda,Female,Single,27,Sedan - Collision,Sedan,"20,000 to 29,000",2,400,2,2 to 4,7 years,31 to 35,External,no change,Collision
11139,Honda,Male,Married,28,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,2,none,7 years,31 to 35,External,no change,Collision
11140,Pontiac,Male,Married,39,Sedan - Collision,Sedan,"20,000 to 29,000",5,400,3,more than 4,more than 7,36 to 40,External,no change,Collision
11141,Toyota,Male,Married,54,Sedan - Liability,Sport,"20,000 to 29,000",9,400,4,2 to 4,7 years,41 to 50,External,no change,Liability
11142,Honda,Male,Single,22,Sedan - Liability,Sport,"30,000 to 39,000",4,400,1,more than 4,6 years,26 to 30,External,no change,Liability
11143,Toyota,Male,Married,54,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,3,1,7 years,41 to 50,External,no change,Collision
11144,Mazda,Male,Married,54,Sport - Collision,Sport,"more than 69,000",3,400,2,1,7 years,41 to 50,External,no change,Collision
11145,Mazda,Male,Single,30,Sedan - Collision,Sedan,"30,000 to 39,000",4,400,2,2 to 4,6 years,31 to 35,External,no change,Collision
11146,Nisson,Female,Married,36,Sedan - All Perils,Sedan,"30,000 to 39,000",14,400,1,none,more than 7,36 to 40,External,no change,All Perils
11147,Pontiac,Male,Married,45,Sedan - Collision,Sedan,"30,000 to 39,000",6,400,4,1,7 years,36 to 40,External,no change,Collision
11148,Mazda,Male,Married,51,Sedan - Collision,Sedan,"30,000 to 39,000",10,400,1,none,more than 7,41 to 50,External,no change,Collision
11149,Toyota,Male,Married,52,Sedan - All Perils,Sedan,"less than 20,000",6,400,1,none,more than 7,41 to 50,External,no change,All Perils
11150,Pontiac,Male,Married,55,Sedan - Liability,Sport,"20,000 to 29,000",11,400,2,1,7 years,41 to 50,Internal,no change,Liability
11151,Ford,Female,Married,40,Sedan - Collision,Sedan,"40,000 to 59,000",3,400,3,none,5 years,36 to 40,External,no change,Collision
11152,Toyota,Male,Married,60,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,3,none,more than 7,51 to 65,External,4 to 8 years,Collision
11153,Honda,Male,Married,27,Sedan - Liability,Sport,"30,000 to 39,000",6,400,3,2 to 4,7 years,31 to 35,External,no change,Liability
11154,Chevrolet,Male,Married,30,Utility - All Perils,Utility,"more than 69,000",15,400,3,more than 4,7 years,31 to 35,External,no change,All Perils
11155,VW,Male,Single,32,Sedan - Collision,Sedan,"40,000 to 59,000",7,400,3,1,7 years,31 to 35,External,no change,Collision
11156,Accura,Male,Single,28,Sedan - Liability,Sport,"30,000 to 39,000",2,400,1,2 to 4,5 years,31 to 35,External,no change,Liability
11157,Mazda,Male,Single,43,Sedan - Liability,Sport,"30,000 to 39,000",4,400,4,more than 4,more than 7,36 to 40,External,no change,Liability
11158,Pontiac,Male,Single,35,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,3,2 to 4,7 years,31 to 35,External,no change,Collision
11159,Mazda,Male,Married,50,Sedan - All Perils,Sedan,"30,000 to 39,000",15,400,1,none,more than 7,41 to 50,External,no change,All Perils
11160,Honda,Male,Single,34,Sedan - Liability,Sport,"30,000 to 39,000",4,400,1,2 to 4,6 years,31 to 35,External,no change,Liability
11161,Honda,Male,Married,26,Sedan - Liability,Sport,"30,000 to 39,000",10,700,3,2 to 4,7 years,31 to 35,External,no change,Liability
11162,Mazda,Female,Single,26,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,4,2 to 4,6 years,31 to 35,External,no change,Collision
11163,Saab,Female,Single,28,Sedan - All Perils,Sedan,"30,000 to 39,000",2,400,4,2 to 4,5 years,31 to 35,External,no change,All Perils
11164,Pontiac,Female,Single,29,Sedan - Liability,Sport,"20,000 to 29,000",12,400,4,2 to 4,6 years,31 to 35,External,no change,Liability
11165,Toyota,Male,Single,31,Sedan - All Perils,Sedan,"less than 20,000",8,400,3,1,6 years,31 to 35,External,no change,All Perils
11166,Chevrolet,Male,Single,26,Sedan - Liability,Sport,"30,000 to 39,000",10,400,1,2 to 4,6 years,31 to 35,External,no change,Liability
11167,Honda,Male,Single,32,Sedan - Liability,Sport,"more than 69,000",9,400,3,none,6 years,31 to 35,External,no change,Liability
11168,Chevrolet,Male,Married,50,Sedan - Collision,Sedan,"30,000 to 39,000",3,400,1,1,more than 7,41 to 50,External,no change,Collision
11169,Toyota,Female,Married,34,Sedan - Collision,Sedan,"20,000 to 29,000",6,400,2,none,6 years,31 to 35,External,no change,Collision
11170,Toyota,Male,Divorced,50,Sedan - All Perils,Sedan,"20,000 to 29,000",6,500,4,none,6 years,41 to 50,External,2 to 3 years,All Perils
11171,Pontiac,Male,Single,23,Sedan - All Perils,Sedan,"30,000 to 39,000",12,400,3,2 to 4,5 years,26 to 30,External,no change,All Perils
11172,Toyota,Male,Married,41,Sedan - Collision,Sedan,"30,000 to 39,000",8,400,4,2 to 4,more than 7,36 to 40,Internal,no change,Collision
11173,Mazda,Male,Married,31,Sedan - Collision,Sedan,"20,000 to 29,000",8,400,4,none,7 years,31 to 35,External,4 to 8 years,Collision
11174,Honda,Male,Single,63,Sedan - All Perils,Sedan,"20,000 to 29,000",2,400,2,none,more than 7,51 to 65,External,no change,All Perils
11175,Honda,Male,Married,54,Sedan - All Perils,Sedan,"20,000 to 29,000",4,400,1,2 to 4,more than 7,41 to 50,External,no change,All Perils
11176,Mazda,Male,Married,37,Sedan - Collision,Sedan,"20,000 to 29,000",1,400,3,more than 4,7 years,36 to 40,External,no change,Collision
11177,Mazda,Male,Married,62,Sedan - Collision,Sedan,"20,000 to 29,000",13,400,1,1,7 years,51 to 65,External,no change,Collision
11178,Mazda,Male,Married,33,Sedan - All Perils,Sedan,"less than 20,000",2,400,1,2 to 4,6 years,31 to 35,External,no change,All Perils
11179,Ford,Male,Married,63,Sedan - Liability,Sport,"60,000 to 69,000",1,400,3,1,more than 7,51 to 65,External,no change,Liability
11180,Mazda,Male,Married,54,Sedan - Liability,Sport,"30,000 to 39,000",1,400,1,1,more than 7,41 to 50,External,no change,Liability
11181,Mazda,Male,Married,59,Sedan - Collision,Sedan,"30,000 to 39,000",2,400,1,2 to 4,more than 7,51 to 65,External,no change,Collision
11182,Pontiac,Female,Single,35,Sedan - Collision,Sedan,"20,000 to 29,000",7,400,1,none,7 years,31 to 35,External,no change,Collision
11183,Pontiac,Male,Married,73,Sedan - Collision,Sedan,"30,000 to 39,000",5,400,1,none,more than 7,over 65,External,no change,Collision
11184,Honda,Male,Married,30,Sedan - Liability,Sport,"more than 69,000",7,400,1,none,6 years,31 to 35,External,no change,Liability
11185,Mazda,Male,Married,61,Sedan - Liability,Sport,"20,000 to 29,000",9,400,3,2 to 4,more than 7,51 to 65,External,no change,Liability
11186,Pontiac,Male,Married,28,Sedan - All Perils,Sedan,"20,000 to 29,000",14,400,3,none,7 years,31 to 35,External,no change,All Perils
11187,Mazda,Male,Single,28,Sedan - Collision,Sedan,"30,000 to 39,000",2,400,4,more than 4,6 years,31 to 35,External,no change,Collision
11188,Ford,Male,Married,65,Sedan - Liability,Sport,"60,000 to 69,000",16,400,4,1,more than 7,51 to 65,Internal,no change,Liability
11189,Toyota,Male,Married,50,Sedan - All Perils,Sedan,"less than 20,000",5,400,2,none,more than 7,41 to 50,External,no change,All Perils
11190,Honda,Male,Married,65,Sedan - Collision,Sedan,"30,000 to 39,000",14,400,4,1,more than 7,51 to 65,External,no change,Collision
11191,Toyota,Male,Married,65,Sedan - Collision,Sedan,"less than 20,000",10,400,3,1,more than 7,51 to 65,External,no change,Collision
